time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450750000	12.4474	21.0033	4.92407	3.03717	0.653294	radar	2.72922	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1965	21.0438	4.95021	3.06136	0.646488	lidar	0.250605	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9631	21.0634	4.93462	3.107	0.837142	radar	0.947448	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7247	21.0258	4.89601	3.17099	0.88824	lidar	1.51278	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4825	21.009	4.88938	3.18195	0.46752	radar	0.967793	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2711	21.0015	4.82679	3.20582	0.478785	lidar	0.719145	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0212	20.9584	4.84492	3.25037	0.529937	radar	3.8994	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8165	20.9188	4.76942	3.2871	0.555304	lidar	0.353874	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5547	20.9161	4.82438	3.19987	-0.484242	radar	4.04613	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2453	20.987	4.99635	3.1131	-0.653246	lidar	3.30795	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.006	20.9653	4.97845	3.26135	1.13815	radar	1.6313	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83131	20.9204	4.82818	3.32213	1.0974	lidar	1.86068	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59582	20.9034	4.81137	3.24713	-0.191774	radar	0.676801	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.41642	20.8634	4.6864	3.26016	-0.088408	lidar	0.986697	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.20607	20.816	4.65606	3.38464	1.1763	radar	1.72437	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88657	20.7903	4.86316	3.40912	1.12094	lidar	2.37385	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68348	20.7072	4.80089	3.45236	0.841072	radar	4.41946	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39092	20.6208	4.94139	3.47964	0.767315	lidar	2.64856	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16552	20.5395	4.93404	3.50312	0.617204	radar	0.0499978	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91945	20.455	4.97107	3.525	0.591774	lidar	0.0768376	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71407	20.3683	4.93831	3.59499	1.04361	radar	3.11409	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36891	20.3136	5.18421	3.56716	0.838438	lidar	3.1234	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13032	20.2167	5.18494	3.53824	0.161545	radar	0.223323	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.85801	20.139	5.24945	3.52083	0.0996302	lidar	0.290393	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62855	20.0451	5.23266	3.54623	0.311334	radar	0.530568	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38369	19.956	5.24075	3.55303	0.301299	lidar	0.184667	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1651	19.8632	5.20786	3.59847	0.678618	radar	3.17116	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90133	19.768	5.26647	3.61065	0.628405	lidar	0.366794	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.66837	19.6264	5.29566	3.70529	1.21348	radar	0.981419	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.5331	19.4798	5.12916	3.80061	1.33346	lidar	2.09498	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34792	19.3266	5.07416	3.7834	0.398999	radar	1.82732	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13167	19.2268	5.07364	3.75557	0.205075	lidar	2.53621	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94929	19.1089	5.00985	3.71878	-0.226482	radar	4.26714	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80017	18.9635	4.90459	3.74257	-0.164235	lidar	0.619378	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.59865	18.8113	4.94371	3.85754	1.06684	radar	1.69861	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.42399	18.6776	4.90788	3.90015	1.06642	lidar	1.40465	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
